,Id,indegree,outdegree,modularity_class,closnesscentrality,betweenesscentrality,pageranks,Split_URL,words,FlattenedColumn,FilteredWordsSmall,FilteredWordsDictionary,StemmedWords,Rank_In_degree,Rank_Out_degree,Rank_closeness,Rank_betweeness,Rank_pagerank,Rank_sum,Cluster_BERT,
0,https://static.cloudflareinsights.com/beacon.min.js/v8b253dfea2ab4077af8c6f58422dfbfd1689876627854,218,0,7,0,0,0.001136,"['static', 'cloudflareinsights', 'beacon', 'min', 'js']","[['static'], ['cloud', 'flare', 'insights'], ['beacon'], ['min'], ['js']]","['static', 'cloud', 'flare', 'insights', 'beacon', 'min', 'js']","['static', 'cloud', 'flare', 'insights', 'beacon', 'min']","['static', 'cloud', 'flare', 'beacon', 'min']","['static', 'cloud', 'flare', 'beacon', 'min']",1,1815,1815,1815,1,5447,1,
1,https://www.thehindu.com/cdn-cgi/scripts/7d0fa10a/cloudflare-static/rocket-loader.min.js,217,0,7,0,0,0.001134,"['thehindu', 'cdn-cgi', 'scripts', 'cloudflare-static', 'rocket-loader', 'min', 'js']","[['the', 'hindu'], ['cd', 'n', 'cgi'], ['scripts'], ['cloud', 'flare', 'static'], ['rocket', 'loader'], ['min'], ['js']]","['the', 'hindu', 'cd', 'n', 'cgi', 'scripts', 'cloud', 'flare', 'static', 'rocket', 'loader', 'min', 'js']","['the', 'hindu', 'cgi', 'scripts', 'cloud', 'flare', 'static', 'rocket', 'loader', 'min']","['cloud', 'flare', 'static', 'rocket', 'loader', 'min']","['cloud', 'flare', 'static', 'rocket', 'loader', 'min']",4,1815,1815,1815,2,5451,1,
2,"https://fonts.googleapis.com/css2?family=Merriweather+Sans:ital,wght@0,300;0,400;0,500;0,600;0,700;0,800;1,300;1,400;1,500;1,600;1,700;1,800&family=Merriweather:ital,wght@0,300;0,400;0,700;0,900;1,300;1,400;1,700;1,900&display=swap",217,0,7,0,0,0.001129,"['fonts', 'googleapis', 'family', 'erriweather', 'ans', 'ital', 'wght', 'family', 'erriweather', 'ital', 'wght', 'display', 'swap']","[['fonts'], ['google', 'apis'], ['family'], ['err', 'i', 'weather'], ['an', 's'], ['it', 'al'], ['wg', 'ht'], ['family'], ['err', 'i', 'weather'], ['it', 'al'], ['wg', 'ht'], ['display'], ['swap']]","['fonts', 'google', 'apis', 'family', 'err', 'i', 'weather', 'an', 's', 'it', 'al', 'wg', 'ht', 'family', 'err', 'i', 'weather', 'it', 'al', 'wg', 'ht', 'display', 'swap']","['fonts', 'google', 'apis', 'family', 'err', 'weather', 'family', 'err', 'weather', 'display', 'swap']","['family', 'err', 'weather', 'family', 'err', 'weather', 'display', 'swap']","['famili', 'err', 'weather', 'famili', 'err', 'weather', 'display', 'swap']",4,1815,1815,1815,4.5,5453.5,11,
3,https://fonts.googleapis.com/css2?family=Playfair+Display:wght@400;600;700;800;900&display=swap,217,0,7,0,0,0.001129,"['fonts', 'googleapis', 'family', 'layfair', 'isplay', 'wght', 'display', 'swap']","[['fonts'], ['google', 'apis'], ['family'], ['lay', 'fair'], ['is', 'play'], ['wg', 'ht'], ['display'], ['swap']]","['fonts', 'google', 'apis', 'family', 'lay', 'fair', 'is', 'play', 'wg', 'ht', 'display', 'swap']","['fonts', 'google', 'apis', 'family', 'lay', 'fair', 'play', 'display', 'swap']","['family', 'lay', 'fair', 'play', 'display', 'swap']","['famili', 'lay', 'fair', 'play', 'display', 'swap']",4,1815,1815,1815,4.5,5453.5,7,
4,https://cdn.cxense.com/cx.cce.js,217,0,7,0,0,0.001129,"['cdn', 'cxense', 'cx', 'cce', 'js']","[['cd', 'n'], ['cx', 'ense'], ['cx'], ['c', 'ce'], ['js']]","['cd', 'n', 'cx', 'ense', 'cx', 'c', 'ce', 'js']",['ense'],['ense'],['ens'],4,1815,1815,1815,4.5,5453.5,2,
5,https://www.googletagmanager.com/ns.html?id=GTM-W5VV9N,217,0,7,0,0,0.001129,"['googletagmanager', 'ns', 'html', 'id', '-']","[['google', 'tag', 'manager'], ['ns'], ['html'], ['id'], []]","['google', 'tag', 'manager', 'ns', 'html', 'id']","['google', 'tag', 'manager', 'html']","['tag', 'manager']","['tag', 'manag']",4,1815,1815,1815,4.5,5453.5,1,
6,https://thehinduads.com/,1,0,7,0,0,0.000936,['thehinduads'],"[['the', 'hindu', 'ads']]","['the', 'hindu', 'ads']","['the', 'hindu', 'ads']",[],[],2281.5,1815,1815,1815,8.5,7735,5,
7,https://roofandfloor.thehindu.com/bangalore,1,0,7,0,0,0.000936,"['roofandfloor', 'thehindu', 'bangalore']","[['roof', 'and', 'floor'], ['the', 'hindu'], ['bangalore']]","['roof', 'and', 'floor', 'the', 'hindu', 'bangalore']","['roof', 'and', 'floor', 'the', 'hindu', 'bangalore']","['roof', 'floor']","['roof', 'floor']",2281.5,1815,1815,1815,8.5,7735,2,
8,http://ad.apps.fm/Xqu5BIBeCOREIqFMIJ5-hfE7og6fuV2oOMeOQdRqrE2LOAsYCovCD3BO4Tlr0voJxQxE023YRcpDAfPt4729MIV4EkBzhuiTQ6_P48Dm81I,1,0,7,0,0,0.000936,"['ad', 'apps', 'fm', 'e', 'q', 'e', 'd', 'qr', 's', 'ov', 'x', 'x', 'cp', 'f', 'k', 'zhui']","[['ad'], ['apps'], ['fm'], ['e'], ['q'], ['e'], ['d'], ['qr'], ['s'], ['ov'], ['x'], ['x'], ['cp'], ['f'], ['k'], ['zhu', 'i']]","['ad', 'apps', 'fm', 'e', 'q', 'e', 'd', 'qr', 's', 'ov', 'x', 'x', 'cp', 'f', 'k', 'zhu', 'i']","['apps', 'zhu']",[],[],2281.5,1815,1815,1815,8.5,7735,5,
9,https://pay.hindu.com/esubspay/,1,0,7,0,0,0.000936,"['pay', 'hindu', 'esubspay']","[['pay'], ['hindu'], ['e', 'subs', 'pay']]","['pay', 'hindu', 'e', 'subs', 'pay']","['pay', 'hindu', 'subs', 'pay']","['pay', 'pay']","['pay', 'pay']",2281.5,1815,1815,1815,8.5,7735,2,
